question 16
t	Exact		Euler		Error		Error Bound
--------------------------------------------------
0.0	0.500000	0.800000	0.300000	0.240000
0.2	0.829299	1.152000	0.322701	0.280000
0.4	1.214088	1.550400	0.336312	0.320000
0.6	1.648941	1.988480	0.339539	0.360000
0.8	2.127230	2.458176	0.330946	0.400000
1.0	2.640859	2.949811	0.308952	0.440000
1.2	3.179942	3.451773	0.271832	0.480000
1.4	3.732400	3.950128	0.217728	0.520000
1.6	4.283484	4.428154	0.144670	0.560000
1.8	4.815176	4.865785	0.050608	0.600000
2.0	5.305472	5.238941	0.066531	0.640000
